Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C,Route
10807.7,10876.5,11.0,10.0,8.820310000000003,25.0424,16.0,70.0,1.58595,-97,-98,6.0,100.0,-83.77790999999998,2.51525,213.64,-57762.0,2.0
7576.69,7525.03,8.0,8.0,6.6871199999999975,21.0722,14.0,50.0,15.4293,102,-105,1.0,13.2579,1.1271799999999992,238.062,1335.05,-59544.7,2.0
7594.4,7560.26,13.0,8.0,8.62279,20.0466,11.0,50.0,16.5793,102,0,0.0,16.0973,-4.673489999999998,274.874,-729.304,-59486.7,2.0
11515.9,11632.3,6.0,6.0,5.91492,21.1637,15.0,120.0,11.7186,83,-76,6.0,31.695,-16.446220000000004,137.326,-2857.42,-47388.4,1.0
11531.7,11661.1,11.0,6.0,7.626010000000001,25.178,18.0,140.0,15.8766,83,-67,5.0,22.0759,-4.523910000000001,252.067,-3635.19,-42593.8,1.0
11516.4,11627.2,6.0,5.0,5.98963,25.3468,19.0,120.0,9.21077,83,-166,5.0,39.8818,-20.524629999999995,84.8383,-2170.24,-48386.9,1.0
8688.62,8577.86,15.0,14.0,9.07327,25.3164,16.0,140.0,5.2431,123,103,2.0,32.7269,-16.48377,27.4901,427.614,-43437.8,2.0
8685.4,8555.36,13.0,11.0,8.7318,12.1372,3.0,140.0,23.9355,119,-76,2.0,4.47225,-1.0668499999999996,572.909,6760.35,-41692.7,2.0
8669.55,8569.24,8.0,7.0,6.76939,12.049,5.0,100.0,15.3469,118,-83,2.0,9.63054,-4.35093,235.526,3078.12,-51488.4,2.0
11650.7,11642.4,10.0,5.0,9.12527,25.0363,16.0,100.0,4.70085,-90,-76,8.0,53.0524,-37.14137,22.09800000000001,-193.868,-51910.9,2.0
11666.7,11632.1,5.0,6.0,5.9435699999999985,24.2499,18.0,90.0,6.57342,-4,-76,0.0,25.7022,-7.395870000000002,43.2099,976.486,-53642.3,2.0
11653.8,11544.7,8.0,12.0,8.74047,25.3218,17.0,120.0,19.6498,-89,83,1.0,17.5116,-0.9302700000000002,386.114,-4069.39,-47143.1,1.0
11619.0,11610.3,10.0,12.0,8.670689999999999,22.3017,14.0,60.0,14.6148,-179,-94,0.0,19.1184,-5.487390000000001,213.593,-980.678,-59322.2,2.0
11620.6,11642.7,8.0,5.0,7.77793,25.162,17.0,140.0,10.936,-171,74,8.0,28.5117,-11.12763,119.595,-1905.63,-42888.2,2.0
10746.7,10653.2,11.0,13.0,8.67609,19.1416,10.0,110.0,24.1041,-92,83,2.0,14.1665,-3.700989999999999,581.006,-4739.41,-49460.6,1.0
10740.3,10802.7,12.0,12.0,9.24843,25.3358,16.0,60.0,0.187756,-82,-82,6.0,100.0,-83.91263000000002,0.0352524,-23.406,-58612.6,3.0
10742.4,10966.4,12.0,10.0,9.0688,15.2433,6.0,220.0,5.06635,-82,-105,6.0,9.67007,-3.4955700000000007,25.6679,1025.22,-12314.2,2.0
10755.9,10885.9,10.0,7.0,7.8152,25.0508,17.0,130.0,3.09728,-96,-99,6.0,39.0278,-21.7922,9.59315,794.0989999999997,-45603.9,2.0
10718.9,10806.9,10.0,11.0,8.88777,25.3412,16.0,90.0,1.18014,-97,-97,6.0,100.0,-83.54656999999997,1.39273,-207.601,-54760.1,1.0
10716.7,10742.1,12.0,12.0,9.09758,25.3951,16.0,30.0,3.16551,-97,-82,6.0,79.1317,-62.83418,10.0205,-11.2779,-61853.9,3.0
10728.6,10593.3,9.0,7.0,7.93411,20.0268,12.0,150.0,15.5248,-97,85,2.0,24.5558,-12.46311,241.02,-4294.74,-39871.3,1.0
10965.7,11128.2,10.0,13.0,9.13799,12.0638,3.0,170.0,22.1437,-105,83,6.0,3.82899,-0.9031799999999999,490.342,7235.16,-34892.4,2.0
10969.2,10746.1,8.0,11.0,8.73208,14.0394,5.0,220.0,4.01685,-110,-92,2.0,9.1986,-3.89128,16.135,1234.01,-12716.4,2.0
10968.2,10961.6,8.0,11.0,8.85512,25.4282,17.0,10.0,2.83839,-110,-101,3.0,85.04799999999999,-68.47492,8.05648,48.7469,-62419.6,2.0
11060.6,11031.1,12.0,16.0,9.10085,25.231,16.0,30.0,3.43706,-96,-99,2.0,64.3479,-48.21775,11.8134,197.605,-61630.6,2.0
