Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C,Route
3648.54,3640.66,5.0,5.0,12.2196,30.04,18.0,10.0,6.86092,151,61,2.0,36.8399,-19.0195,47.0722,-42.2303,-62329.6,2.0
3249.7,3203.22,10.0,11.0,11.0235,30.4111,19.0,170.0,15.3123,-28,61,2.1,27.3127,-7.9251,234.467,-5201.18,-32850.0,1.0
3279.92,3168.31,10.0,11.0,15.4607,30.4437,15.0,200.0,15.3039,-28,63,1.7,26.5841,-11.6011,234.21099999999998,-5387.8,-22290.1,1.0
2855.97,2762.2,4.0,9.0,14.853,30.0665,15.0,200.0,4.75001,-28,-28,2.1,16.4495,-1.2359999999999989,22.5626,1115.0,-24446.3,2.0
3189.37,3203.44,0.0,11.0,11.05,30.4117,19.0,10.0,11.4353,-30,61,4.6,20.7892,-1.427500000000002,130.766,277.913,-62293.5,2.0
3189.53,3168.31,0.0,11.0,15.4613,30.4443,15.0,40.0,11.37,0,63,1.7,25.2862,-10.303200000000002,129.27700000000002,-855.306,-61031.2,1.0
3275.46,3235.59,10.0,11.0,14.8446,30.4123,16.0,180.0,21.91,-118,61,2.1,16.945999999999998,-1.378300000000003,480.048,-6268.45,-31628.8,1.0
4093.09,3974.2,12.0,11.0,11.1709,30.1195,19.0,150.0,16.3251,152,-118,7.9,16.5552,2.3934,266.51,-1997.22,-39979.5,1.0
4070.02,3949.01,11.0,13.0,14.9828,30.1473,15.0,160.0,1.25578,152,151,1.7,100.0,-84.8355,1.57699,-133.79399999999998,-36389.9,1.0
3210.91,3300.23,8.0,10.0,10.817,30.0744,19.0,90.0,7.0137100000000006,29,74,5.5,26.9418,-7.6844,49.1922,665.875,-53646.6,2.0
3298.75,3214.28,6.0,12.0,12.3457,30.4139,18.0,130.0,13.158,-28,61,1.6,28.0763,-10.0081,173.132,-3251.98,-45172.4,1.0
3303.12,3168.32,0.0,11.0,15.4619,30.4456,15.0,200.0,11.3816,-28,63,1.5,39.1276,-24.1439,129.541,-4446.69,-24334.9,1.0
2937.56,3026.68,8.0,11.0,15.4109,18.2698,3.0,230.0,13.5673,-28,61,6.1,1.67041,1.1884900000000005,184.071,6168.65,-10817.8,2.0
3128.91,3200.85,0.0,11.0,10.7257,24.8726,14.0,90.0,11.09,0,62,5.4,14.069,0.07789999999999786,122.988,2082.21,-53638.6,2.0
3128.91,3168.32,0.0,11.0,15.4625,30.4462,15.0,50.0,11.37,0,63,5.2,17.7822,-2.798499999999999,129.27700000000002,1083.95,-60153.0,2.0
4135.04,3948.98,14.0,13.0,14.9869,30.1491,15.0,190.0,18.7074,61,151,0.5,3.3875599999999997,11.77464,349.967,6957.78,-27586.0,1.0
4068.84,3948.98,7.0,13.0,14.9875,30.1496,15.0,130.0,19.8375,-26,151,0.2,7.04789,8.11421,393.526,3846.6,-46658.0,1.0
3141.74,3101.5,9.0,0.0,15.8444,30.3923,15.0,80.0,9.25,-28,0,1.8,28.6422,-14.0943,85.5625,-470.14599999999996,-56727.5,2.0
2839.67,2762.3,8.0,9.0,14.8773,30.0689,15.0,170.0,0.5306770000000001,-28,-28,7.5,100.0,-84.8084,0.281618,-177.041,-34604.5,1.0
3237.22,3150.51,7.0,12.0,14.948,30.2045,15.0,220.0,4.99,151,151,2.3,69.3754,-54.1189,24.9001,-1522.57,-14214.4,1.0
3236.36,3233.44,2.0,0.0,15.8338,30.3214,14.0,10.0,2.5,151,0,7.5,100.0,-85.5124,6.25,-41.1345,-62432.3,2.0
4121.0,3948.9,12.0,13.0,14.9986,30.1508,15.0,170.0,0.767428,152,151,0.8,100.0,-84.8478,0.588946,36.8819,-32198.0,1.0
2613.01,2539.08,10.0,0.0,15.4411,30.3899,15.0,110.0,10.19,-116,0,1.8,34.2554,-19.306600000000003,103.836,-2058.98,-51313.4,2.0
3044.34,2917.31,10.0,11.0,14.3686,30.0441,16.0,130.0,17.575,151,-97,0.5,11.942,3.7335,308.882,77.8221,-44979.8,2.0
3054.82,3168.32,11.0,11.0,15.4631,30.4467,15.0,120.0,16.1974,-28,63,3.9,16.3892,-1.4055999999999995,262.355,-1397.64,-47564.1,1.0
3174.52,3026.71,9.0,11.0,15.4142,29.6259,14.0,170.0,1.6800400000000002,61,61,1.4,100.0,-85.78829999999998,2.82252,-555.84,-35116.8,1.0
3400.23,3309.86,13.0,10.0,11.7843,30.075,18.0,120.0,14.9276,-28,50,0.1,13.0278,5.262900000000002,222.832,806.385,-48325.7,1.0
3401.17,3459.02,13.0,0.0,12.0537,30.1336,18.0,200.0,12.53,-28,-29,3.5,35.7053,-17.6254,157.001,-4946.54,-23538.1,1.0
3229.79,3314.71,11.0,11.0,12.2471,30.0755,18.0,130.0,13.1837,-29,45,6.1,9.36581,8.462590000000002,173.80900000000003,3330.0,-46434.4,2.0
3771.51,3645.7,13.0,6.0,13.4505,30.0413,17.0,150.0,16.3365,-28,88,0.1,8.18857,8.402230000000001,266.881,2830.23,-41070.6,1.0
3935.37,3936.94,13.0,11.0,14.9647,17.7228,3.0,210.0,17.5682,151,-117,2.7,2.2705900000000003,0.4875099999999989,308.64,7222.72,-17991.0,2.0
2839.26,2795.31,10.0,10.0,14.7801,30.0936,15.0,40.0,14.2395,151,61,0.8,20.3749,-5.061400000000001,202.765,-1159.51,-60550.6,2.0
2844.02,2926.72,11.0,11.0,13.2277,30.0469,17.0,100.0,17.4913,151,-97,4.1,11.2882,5.531000000000002,305.945,1167.58,-52164.9,1.0
3197.34,3203.47,10.0,11.0,11.0537,26.4597,15.0,110.0,15.3572,151,61,2.4,14.3681,1.0379000000000025,235.845,159.595,-50981.2,2.0
3170.66,3101.5,11.0,0.0,15.0913,30.4145,15.0,120.0,10.79,151,0,7.4,33.8556,-18.532400000000006,116.42399999999999,-2490.11,-49141.4,2.0
2828.03,2795.32,0.0,10.0,14.7815,30.0942,15.0,30.0,10.03,0,61,1.5,28.3352,-13.0225,100.601,-686.091,-61330.2,1.0
2828.03,2917.17,0.0,11.0,14.3849,30.053,16.0,130.0,11.08,0,-97,3.9,19.9946,-4.3264999999999985,122.766,-194.27599999999998,-45195.4,2.0
3265.23,3155.32,11.0,12.0,13.9855,30.2057,16.0,120.0,22.73,-28,151,0.3,6.54296,9.677239999999998,516.653,4005.67,-48327.0,1.0
2943.93,3026.72,7.0,11.0,15.4158,30.338,15.0,110.0,13.0027,151,61,5.7,12.414000000000001,2.5082000000000004,169.071,2035.84,-51328.0,1.0
3118.41,3101.5,5.0,0.0,15.1081,30.4162,15.0,20.0,4.87,-118,0,1.5,55.8157,-40.5076,23.7169,-212.549,-62023.8,2.0
