Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C
3282.0,3101.5,9.98,0.0,15.7768,30.3145,14.5377,208.405,9.98, -28, 0,7.85226,4.37842,10.159279999999999,99.6004,3918.79,-19067.5
3279.92,3168.31,9.98,11.37,15.4607,30.4437,14.983,200.524,15.3039, -28, 63,1.7398,26.5841,-11.601099999999999,234.211,-5387.8,-22290.1
2855.97,2762.2,4.09,8.84,14.853,30.0665,15.213500000000002,195.073,4.75001, -28, -28,2.14917,16.4495,-1.2359999999999989,22.5626,1115.0,-24446.3
3189.37,3203.44,0.13,11.43,11.05,30.4117,19.3617,14.3689,11.4353, -30, 61,4.58084,20.7892,-1.427500000000002,130.766,277.913,-62293.5
3189.53,3101.5,0.0,0.0,15.783,30.324,14.541000000000002,247.53,0.0, 0, 0,6.8768,100.0,-85.459,0.0,0.0,-1228.75
3189.53,3168.31,0.0,11.37,15.4613,30.4443,14.982999999999999,38.3246,11.37, 0, 63,1.72095,25.2862,-10.303200000000002,129.277,-855.306,-61031.2
3275.46,3235.59,10.47,11.44,14.8446,30.4123,15.567699999999999,175.702,21.91, -118, 61,2.12818,16.946,-1.378300000000003,480.048,-6268.45,-31628.8
3879.63,3964.45,12.96,11.37,12.1535,30.1189,17.965400000000002,207.286,24.33, 61, -118,3.36241,5.13647,12.828930000000003,591.948,762.158,-19532.3
4093.09,3974.2,11.75,11.45,11.1709,30.1195,18.9486,150.068,16.3251, 152, -118,7.89096,16.5552,2.3933999999999997,266.51,-1997.22,-39979.5
4070.02,3949.01,11.45,12.69,14.9828,30.1473,15.164500000000002,161.586,1.25578, 152, 151,1.67529,100.0,-84.8355,1.57699,-133.794,-36389.9
3210.91,3300.23,7.63,9.83,10.817,30.0744,19.2574,94.0923,7.01371, 29, 74,5.54146,26.9418,-7.6844,49.1922,665.875,-53646.6
3298.75,3214.28,6.17,11.65,12.3457,30.4139,18.0682,131.634,13.158, -28, 61,1.62671,28.0763,-10.008099999999999,173.132,-3251.98,-45172.4
3303.05,3101.5,0.27,0.0,15.0772,30.3246,15.2474,238.553,0.27, -28, 0,7.80622,44.345,-29.0976,0.0729,122.875,-5592.26
3303.12,3168.32,0.27,11.37,15.4619,30.4456,14.983699999999999,195.359,11.3816, -28, 63,1.54167,39.1276,-24.143900000000002,129.541,-4446.69,-24334.9
2937.56,3026.68,8.01,10.93,15.4109,18.2698,2.8589,227.337,13.5673, -28, 61,6.14263,1.67041,1.1884900000000003,184.071,6168.65,-10817.8
3128.91,3200.85,0.0,11.09,10.7257,24.8726,14.146899999999999,94.1349,11.09, 0, 62,5.37386,14.069,0.07789999999999786,122.988,2082.21,-53638.6
3128.91,3168.32,0.0,11.37,15.4625,30.4462,14.9837,48.4458,11.37, 0, 63,5.24802,17.7822,-2.798499999999999,129.277,1083.95,-60153.0
4090.09,3975.77,12.87,11.45,11.0126,30.1201,19.1075,236.942,24.3199, 61, -118,7.40879,3.67463,15.432870000000001,591.457,-443.069,-6358.27
4135.04,3948.98,13.76,12.69,14.9869,30.1491,15.1622,186.853,18.7074, 61, 151,0.452391,3.38756,11.77464,349.967,6957.78,-27586.0
4067.17,3940.85,7.15,11.49,14.5686,19.6825,5.113900000000001,217.369,13.6145, -26, -117,7.55488,3.72124,1.3926600000000011,185.356,3408.57,-15250.9
4130.28,3894.87,11.64,0.0,25.7556,30.1207,4.365099999999998,256.216,11.64, 152, 0,0.129222,35.381,-31.015900000000002,135.49,-4882.69,3146.78
4068.84,3948.98,7.15,12.69,14.9875,30.1496,15.162099999999999,125.865,19.8375, -26, 151,0.207068,7.04789,8.11421,393.526,3846.6,-46658.0
3141.74,3101.5,9.25,0.0,15.8444,30.3923,14.547899999999998,75.9767,9.25, -28, 0,1.84427,28.6422,-14.0943,85.5625,-470.146,-56727.5
2841.95,3026.68,8.87,10.93,15.4116,30.2856,14.873999999999999,189.783,14.0824, -28, 61,5.03516,6.15067,8.723329999999999,198.315,3085.83,-26482.3
2839.67,2762.3,8.31,8.84,14.8773,30.0689,15.1916,167.019,0.530677, -28, -28,7.45756,100.0,-84.8084,0.281618,-177.041,-34604.5
